head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,512,distinct,8,True,8,0.09065599739551544,0.08921600133180618,0.08181895944289863,1.0067519231695283,1.0621604756908094
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,512,distinct,8,True,8,0.03009600006043911,0.02876799926161766,0.02288986463099718,0.9994686463292028,1.022578143279716
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,512,distinct,8,True,8,0.010688000358641148,0.0077760000713169575,0.0061151699628680944,0.9940476602945446,0.9989284069338061
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,2048,distinct,8,True,8,0.08955199643969536,0.08819200098514557,0.07862229482270777,0.9944917846526711,1.0206618934951324
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,2048,distinct,8,True,8,0.02953599952161312,0.02844800055027008,0.02240464906208217,0.9808713915657781,1.000901700734066
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,2048,distinct,8,True,8,0.011136000044643879,0.005888000130653381,0.0059927895199507475,1.0357142980883633,0.9789372535193323
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,1,shared,8,True,1,0.07382400333881378,0.06467200070619583,0.06275750463828444,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,1,shared,8,True,1,0.02571200020611286,0.024288000538945198,0.018575534923002124,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,1,shared,8,True,1,0.011071999557316303,0.006304000038653612,0.005935978842899203,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,1,distinct,8,True,1,0.07422399893403053,0.07222399860620499,0.06365414592437446,1.005418232243258,1.0142873954478908
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,1,distinct,8,True,1,0.02579200081527233,0.02348800003528595,0.01868965453468263,1.0031114113456039,1.0061435437608417
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,1,distinct,8,True,1,0.010751999914646149,0.0050559998489916325,0.005951964994892478,0.9710982970136861,1.0026930945032593
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,2,distinct,8,True,2,0.07417599856853485,0.07100799679756165,0.06313341553322971,1.0047680322632409,1.0059898955051176
