impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,context_len,dtype_label,median_ms,p50_ms,p95_ms,min_ms,std_ms,op_call_ms,eff_gbps,note,gpu,torch
eager,gqa,32,8,128,128,128,bf16,0.12193599715828896,0.12191999703645706,0.146464005112648,0.11734399944543839,0.012005016826865715,0.10447568000017782,26.33565210305663,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,128,128,bf16,0.033615998923778534,0.03356799855828285,0.04291199892759323,0.030400000512599945,0.006980624137105155,0.025845830004982417,95.5278469422037,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,128,128,fp16,0.11721599847078323,0.11721599847078323,0.1327359974384308,0.11203200370073318,0.012367057912509905,0.10186116000113543,27.396123753537157,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,128,128,fp16,0.0331679992377758,0.03315199911594391,0.04044799879193306,0.030271999537944794,0.004809386498600717,0.024543689996789908,96.81814018925256,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,128,128,fp32,0.09324800223112106,0.09324800223112106,0.10844799876213074,0.08854400366544724,0.006976533959769639,0.07886759000029997,68.1729565019934,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,128,128,fp32,0.03473600000143051,0.03471999987959862,0.040800001472234726,0.032255999743938446,0.005128968646120508,0.024392399991484126,183.00875171977788,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,128,2048,bf16,0.1120000034570694,0.1120000034570694,0.1218239963054657,0.10761599987745285,0.005196848207906827,0.09660710999014555,28.67199911499026,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,128,2048,bf16,0.03336000069975853,0.033344000577926636,0.03984000161290169,0.030592000111937523,0.0033633997406707747,0.024432480004179524,96.26090925181678,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,128,2048,fp16,0.10631999745965004,0.10630399733781815,0.11609599739313126,0.10364799946546555,0.004320367755579661,0.09232596999936504,30.203762948910157,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,128,2048,fp16,0.03150400146842003,0.031488001346588135,0.03510399907827377,0.02985600009560585,0.0020301990843651896,0.02318183000170393,101.93194039871437,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
