impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,seed,validation,validation_detail,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw
eager,mha,32,32,128,32,2048,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10230399668216705,0.11260800063610077,0.10038399696350098,0.005267700912633452,0.08717435994185507,0.09894600952975452,802816,786432,1589248,15.534564157228345,2.8116394115912176
compile,mha,32,32,128,32,2048,fp16,uniform,1234,pass,q_maxdiff=4.88e-04 k_maxdiff=4.88e-04 sets=2,0.025839999318122864,0.0315839983522892,0.024831999093294144,0.003034023934290162,0.01905003999127075,0.02302850771229714,802816,786432,1589248,61.50340719573403,11.131654668161719
eager,mha,32,32,128,32,2048,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10255999863147736,0.11353600025177002,0.10060799866914749,0.00539979408917744,0.08860483998432755,0.09806900925468653,802816,786432,1589248,15.495788038283314,2.8046212253614042
compile,mha,32,32,128,32,2048,fp16,ragged,1234,pass,q_maxdiff=4.88e-04 k_maxdiff=9.77e-04 sets=3,0.026815999299287796,0.033344000577926636,0.025407999753952026,0.002909770886589182,0.019069679838139564,0.023464002879336476,802816,786432,1589248,59.264918016395114,10.726504942984448
eager,mha,32,32,128,32,2048,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.0828159973025322,0.09065599739551544,0.08038400113582611,0.0035704016856435944,0.07007968000834808,0.08171251101884991,1589248,1572864,3162112,38.182381460052945,6.910724205386963
compile,mha,32,32,128,32,2048,fp32,uniform,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=4.77e-07 sets=2,0.0261439997702837,0.030912000685930252,0.02377600036561489,0.0029936236536851827,0.019061360217165202,0.023469008738175035,1589248,1572864,3162112,120.94981746420383,21.89100834534089
eager,mha,32,32,128,32,2048,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.0825280025601387,0.09167999774217606,0.08038400113582611,0.003536087486703536,0.06955801014555618,0.07934398308862001,1589248,1572864,3162112,38.3156250231035,6.934840289328685
compile,mha,32,32,128,32,2048,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=4.77e-07 sets=3,0.02582399919629097,0.030912000685930252,0.024159999564290047,0.005433192890880683,0.019251920166425407,0.02332899020984769,1589248,1572864,3162112,122.4485787799345,22.1622728842894
eager,mha,32,32,128,128,128,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10304000228643417,0.1128000020980835,0.09545599669218063,0.004413627259525728,0.08680086000822484,0.10543249663896859,3211264,3145728,6356992,61.6944085689033,11.166224481838848
compile,mha,32,32,128,128,128,bf16,uniform,1234,pass,q_maxdiff=1.56e-02 k_maxdiff=7.81e-03 sets=2,0.025584000162780285,0.030527999624609947,0.02348800003528595,0.0024674598215057375,0.018961969763040543,0.02384398248977959,3211264,3145728,6356992,248.4752954797186,44.97216185189692
eager,mha,32,32,128,128,128,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10414400324225426,0.11478400230407715,0.09683199971914291,0.004519930218996604,0.0878581398865208,0.10344450129196048,3211264,3145728,6356992,61.040403691921675,11.04785451220962
compile,mha,32,32,128,128,128,bf16,ragged,1234,pass,q_maxdiff=1.56e-02 k_maxdiff=7.81e-03 sets=3,0.025760000571608543,0.03302399814128876,0.021407999098300934,0.002821352544041232,0.019318750128149986,0.023679007426835597,3211264,3145728,6356992,246.7776342756132,44.66489792735539
eager,mha,32,32,128,128,128,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.1042879968881607,0.1101439967751503,0.09436800330877304,0.003941104087066599,0.08743965998291969,0.10406049841549248,3211264,3145728,6356992,60.95612332852926,11.032600399578008
compile,mha,32,32,128,128,128,fp16,uniform,1234,pass,q_maxdiff=9.77e-04 k_maxdiff=9.77e-04 sets=2,0.02659199945628643,0.031647998839616776,0.02505600079894066,0.0024276319510694233,0.019128689891658723,0.024455497623421252,3211264,3145728,6356992,239.05656325128976,43.26744207523343
eager,mha,32,32,128,128,128,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10343999788165092,0.11507199704647064,0.09276799857616425,0.005231034343995174,0.08830027014482766,0.10461649799253792,3211264,3145728,6356992,61.45584039235231,11.123045434087445
compile,mha,32,32,128,128,128,fp16,ragged,1234,pass,q_maxdiff=1.95e-03 k_maxdiff=9.77e-04 sets=3,0.026159999892115593,0.031039999797940254,0.024768000468611717,0.002270478262175397,0.019402600009925663,0.02448099257890135,3211264,3145728,6356992,243.00428234772068,43.98194957509475
eager,mha,32,32,128,128,128,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.08620800077915192,0.09356799721717834,0.07452800124883652,0.005550741444954605,0.06957884994335473,0.08815999899525195,6356992,6291456,12648448,146.72011745641632,26.555239048776414
compile,mha,32,32,128,128,128,fp32,uniform,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=4.77e-07 sets=2,0.02611199952661991,0.03340800106525421,0.02236800082027912,0.0032372643630228263,0.018889140046667308,0.026274516130797565,6356992,6291456,12648448,484.39216564420985,87.67134306484955
eager,mha,32,32,128,128,128,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.08526400104165077,0.0947519987821579,0.07513599842786789,0.0059189131743493575,0.07019459997536615,0.0853655074024573,6356992,6291456,12648448,148.34452811827742,26.84924517545442
compile,mha,32,32,128,128,128,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=4.77e-07 sets=3,0.02643200010061264,0.03347200155258179,0.022495999932289124,0.003174981531060168,0.018967289943248034,0.026775000151246786,6356992,6291456,12648448,478.52784321481727,86.60994475989057
eager,mha,32,32,128,128,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10486400127410889,0.11129599809646606,0.09734400361776352,0.004740616980307039,0.08710844005690888,0.10343400936108083,3211264,3145728,6356992,60.62129923292897,10.971999753585498
compile,mha,32,32,128,128,2048,bf16,uniform,1234,pass,q_maxdiff=7.81e-03 k_maxdiff=7.81e-03 sets=2,0.02628799993544817,0.031936001032590866,0.024512000381946564,0.005324585843636231,0.018900360155384988,0.023724991478957236,3211264,3145728,6356992,241.82105963215125,43.7677951523434
eager,mha,32,32,128,128,2048,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10065599903464317,0.11062400043010712,0.09532800316810608,0.008410395829583854,0.08589415985625237,0.10410549293737859,3211264,3145728,6356992,63.15561974415542,11.43069272745002
compile,mha,32,32,128,128,2048,bf16,ragged,1234,pass,q_maxdiff=1.56e-02 k_maxdiff=7.81e-03 sets=3,0.026415999978780746,0.03215999901294708,0.024224000051617622,0.003412906075532423,0.01896829024190083,0.02407051215413958,3211264,3145728,6356992,240.6493036457601,43.55571612143141
eager,mha,32,32,128,128,2048,fp16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10452799871563911,0.11744000017642975,0.09603200107812881,0.0054793797329036175,0.08750688983127475,0.1043499942170456,3211264,3145728,6356992,60.81616483726756,11.007268964074868
compile,mha,32,32,128,128,2048,fp16,uniform,1234,pass,q_maxdiff=9.77e-04 k_maxdiff=1.95e-03 sets=2,0.02580800000578165,0.03625600039958954,0.02099199965596199,0.004322283845178516,0.01871441985713318,0.02404500264674425,3211264,3145728,6356992,246.3186608251655,44.58182718078718
eager,mha,32,32,128,128,2048,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10318399965763092,0.11459200084209442,0.09424000233411789,0.0053071606358744946,0.0872149399947375,0.1049370039254427,3211264,3145728,6356992,61.608311570522375,11.15064157192149
compile,mha,32,32,128,128,2048,fp16,ragged,1234,pass,q_maxdiff=9.77e-04 k_maxdiff=1.95e-03 sets=3,0.025456000119447708,0.035392001271247864,0.020959999412298203,0.004977468490649979,0.01878104027127847,0.023894986952655017,3211264,3145728,6356992,249.72470027384338,45.19829473368477
