head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,8,distinct,8,False,8,0.02550400048494339,0.024480000138282776,0.019092204747721553,0.9912935385515342,1.0093353841616592
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,8,distinct,8,False,8,0.010479999706149101,0.006719999946653843,0.005977775435894728,0.9689348480642337,1.021677826483077
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,64,distinct,8,False,8,0.07433599978685379,0.0719359964132309,0.06358391488902271,0.9974237674596738,1.0024198919963685
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,64,distinct,8,False,8,0.02582399919629097,0.024447999894618988,0.019112289883196354,1.0037312992507212,1.0103972121798621
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,64,distinct,8,False,8,0.01089600007981062,0.008287999778985977,0.005937250098213553,1.007396419643466,1.014751531013532
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,512,distinct,8,False,8,0.07427199929952621,0.0719040036201477,0.06375002558343112,0.996565023279565,1.0050386779682443
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,512,distinct,8,False,8,0.026256000623106956,0.024768000468611717,0.01907411962747574,1.020522399270522,1.0083792896701052
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,512,distinct,8,False,8,0.01065600011497736,0.006560000125318766,0.005872279871255159,0.9852070746070639,1.0036472931617084
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,2048,distinct,8,False,8,0.07478400319814682,0.07222399860620499,0.0636823452077806,1.003434976720435,1.0039716761177246
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,2048,distinct,8,False,8,0.025919999927282333,0.02473600022494793,0.01885525998659432,1.0074626708990295,0.9968089769364283
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,2048,distinct,8,False,8,0.01071999967098236,0.0063680000603199005,0.0059973145835101604,0.9911241931006359,1.0250173152412525
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,1,shared,8,False,1,0.0891840010881424,0.07968000322580338,0.07696368964388967,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,1,shared,8,False,1,0.029279999434947968,0.028031999245285988,0.02262674504891038,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,shared,8,False,1,0.010879999957978725,0.007104000076651573,0.005864159902557731,1.0,1.0
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,1,distinct,8,False,1,0.0894400030374527,0.08755200356245041,0.07752404431812465,1.002870491861621,1.0072807667723278
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,1,distinct,8,False,1,0.030079999938607216,0.026815999299287796,0.02280953456647694,1.027322422100336,1.0080784716127504
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,distinct,8,False,1,0.01071999967098236,0.0060800001956522465,0.005857199430465698,0.9852940912119186,0.9988130487217791
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,eager,2,distinct,8,False,2,0.08988799899816513,0.0814720019698143,0.0771032995544374,1.0078937690777852,1.0018139711231844
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,compile,2,distinct,8,False,2,0.029600000008940697,0.02844800055027008,0.02258145483210683,1.0109289815631206,0.9979983768453814
gqa,32,8,128,1,2048,bf16,ragged,packed,identity,graph_compile,2,distinct,8,False,2,0.010751999914646149,0.005696000065654516,0.005911099724471569,0.9882352900894352,1.0080045262567559
