model_id,batch,ctx,dtype_label,mode,rung,description,numerically_valid,layer_types_forced,max_cache_len,amortized_step_ms,synchronized_step_ms,error,unique_graphs,calls_captured,cudagraph_manager,peak_mem_gb,saving_vs_full_pct,per_layer_us
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,57.05468577332795,57.29498155415058,,0,0,False,16.905737216,2.5421031844780875,1782.9589304164983
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,rope_removed,"RoPE skipped, cache write kept",False,True,1372,57.544162293585636,57.8060494735837,,0,0,False,16.905737216,1.706004421364838,1798.2550716745511
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,append_removed,"cache write skipped, RoPE kept",False,True,1372,58.10309980685512,58.32625995390117,,0,0,False,16.905737216,0.7512559417928607,1815.7218689642225
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,60.015014726668596,60.3015759261325,,0,0,False,16.905737216,-2.514579360771283,1875.4692102083936
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,58.999052798996374,59.289596509188414,,0,0,False,16.905737216,-0.7791651459082289,1843.7203999686367
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,full,unmodified decode step,True,True,1372,50.6399015399317,51.02412553969771,,1,2123,False,16.905737216,0.0,1582.4969231228656
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,48.907470793152854,49.254713463597,,1,1451,False,16.905737216,3.4210784264909186,1528.3584622860267
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,rope_removed,"RoPE skipped, cache write kept",False,True,1372,50.41607445882013,50.82930554635823,,1,1611,False,16.905737216,0.44199746505248527,1575.502326838129
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,append_removed,"cache write skipped, RoPE kept",False,True,1372,48.89998300001025,49.239541054703295,,1,1963,False,16.905737216,3.4358647766118744,1528.1244687503204
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,50.6235635606572,51.24243802856654,,1,2795,False,16.905737216,0.03226305497772941,1581.9863612705376
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_compile,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,59.818118146310255,60.3428001049906,,1,2699,False,17.556001792,-18.124475615619325,1869.3161920721955
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,full,unmodified decode step,True,True,1372,49.457039387586214,49.85573946032673,,1,2123,True,16.905737216,0.0,1545.5324808620692
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,48.20406801377734,48.45743300393224,,1,1451,True,16.905737216,2.5334540630092257,1506.3771254305418
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,rope_removed,"RoPE skipped, cache write kept",False,True,1372,49.463969014274575,49.823971930891275,,1,1611,True,16.905737216,-0.01401140621066071,1545.7490316960805
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,append_removed,"cache write skipped, RoPE kept",False,True,1372,48.24433695369711,48.5001290217042,,1,1963,True,16.905737216,2.45203200374646,1507.6355298030346
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,49.57765130015711,50.00939196906984,,1,2795,True,16.905737216,-0.2438720838618729,1549.3016031299096
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_static_graph,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,58.92772538587451,59.35563344974071,,1,2699,True,17.56510208,-19.149318510694055,1841.4914183085784
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,full,unmodified decode step,True,True,1372,32.266559046693146,32.5329415500164,,0,0,False,15.92212992,0.0,1008.3299702091608
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,31.26036007422954,31.502441852353513,,0,0,False,14.797181952,3.1183956461162494,976.8862523196731
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,rope_removed,"RoPE skipped, cache write kept",False,True,1372,31.663831120046478,31.90740244463086,,0,0,False,14.795420672,1.8679646806294314,989.4947225014524
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,append_removed,"cache write skipped, RoPE kept",False,True,1372,32.12284955351303,32.35836990643293,,0,0,False,14.795420672,0.44538214617851085,1003.8390485472821
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,33.92188265298804,34.15667894296348,,0,0,False,14.795420672,-5.130152254225383,1060.0588329058762
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_eager,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,32.93613844706367,33.17588695790619,,0,0,False,14.795420672,-2.0751496910518736,1029.2543264707397
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,full,unmodified decode step,True,True,1372,28.78759956608216,29.084539972245693,,1,2123,False,14.795420672,0.0,899.6124864400675
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,27.263410327335198,27.514011482708156,,1,1451,False,14.795420672,5.294603446349096,851.9815727292249
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,rope_removed,"RoPE skipped, cache write kept",False,True,1372,28.59390780640145,28.883428894914687,,1,1611,False,14.795420672,0.6728305332860062,893.5596189500453
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,append_removed,"cache write skipped, RoPE kept",False,True,1372,27.277427540781595,27.518496033735573,,1,1963,False,14.795420672,5.245911601048758,852.4196106494248
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,28.720033266581595,29.02265335433185,,1,2795,False,14.795420672,0.23470626422139487,897.5010395806748
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_compile,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,29.621963553751506,30.0176739692688,,1,2699,False,14.9190528,-2.898345121669683,925.6863610547346
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,full,unmodified decode step,True,True,1372,27.892866752420865,28.350988868623972,,1,2123,True,14.795420672,0.0,871.652086013152
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,1372,26.69520548079163,26.99133544228971,,1,1451,True,14.795420672,4.29379053167882,834.2251712747384
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,rope_removed,"RoPE skipped, cache write kept",False,True,1372,27.969947213617463,28.156129061244428,,1,1611,True,14.796092416,-0.2763447080601993,874.0608504255457
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,append_removed,"cache write skipped, RoPE kept",False,True,1372,26.730299460080765,26.922382647171617,,1,1963,True,14.795420672,4.167973491786028,835.3218581275239
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,1372,27.948399200104177,28.244061395525932,,1,2795,True,14.795420672,-0.19909193334705322,873.3874750032555
mistralai/Mistral-7B-v0.1,1,1024,bf16,hf_static_graph,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,1372,28.811985625264548,29.11533892620355,,1,2699,True,14.871441408,-3.2951753615067587,900.3745507895171
