impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,seed,validation,validation_detail,validation_cases,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw,pct_of_scattered_write_bw
graph_eager,mha,32,32,128,1,128,fp16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03171199932694435,0.03244800120592117,0.0306560005992651,0.0007269100857700229,0.03062032046727836,0.03579742042347789,25088,24576,49664,1.5660948869219542,0.2832577166950329,0.429244680580131
graph_compile,mha,32,32,128,1,128,fp16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010928000323474407,0.012223999947309494,0.009119999594986439,0.0009933593385407966,0.006069199880585074,0.011331052519381046,25088,24576,49664,4.544655795197672,0.8219864801695725,1.2456265207470036
eager,mha,32,32,128,1,128,fp16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09118400141596794,0.1008640006184578,0.08873599767684937,0.003911925143786348,0.07827886031009257,0.09041500743478537,25088,24576,49664,0.5446569489031323,0.09851145356307704,0.14928284359396204
compile,mha,32,32,128,1,128,fp16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.030400000512599945,0.03657599911093712,0.028831999748945236,0.002469432278267111,0.02286434988491237,0.02839905209839344,25088,24576,49664,1.633684182979394,0.2954825121618539,0.4477699602672599
graph_eager,mha,32,32,128,1,128,fp16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03171199932694435,0.03311999887228012,0.030527999624609947,0.0008026364093247955,0.030800960958003998,0.03578205360099673,25088,24576,49664,1.5660948869219542,0.2832577166950329,0.429244680580131
graph_compile,mha,32,32,128,1,128,fp16,uniform,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010847999714314938,0.014527999795973301,0.006047999951988459,0.001722447863417455,0.00625535030849278,0.011436466593295336,25088,24576,49664,4.578171212012826,0.8280483736860003,1.2548126272246296
eager,mha,32,32,128,1,128,fp16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09047999978065491,0.09804800152778625,0.08905600011348724,0.0030452197868769512,0.07815151009708643,0.08854642510414124,25088,24576,49664,0.5488947847081938,0.09927794587710884,0.15044437505140132
compile,mha,32,32,128,1,128,fp16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03014400042593479,0.03548799827694893,0.025536000728607178,0.0027235151468315054,0.023136059753596783,0.02864899579435587,25088,24576,49664,1.647558363131886,0.2979919185993748,0.4515726787855309
graph_eager,mha,32,32,128,1,128,fp16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03167999908328056,0.03308799862861633,0.030527999624609947,0.0007414736573562492,0.030925299506634474,0.03572698915377259,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,fp16,uniform,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010847999714314938,0.01408000010997057,0.006271999794989824,0.001427891362488819,0.0060294196009635925,0.011216499842703342,25088,24576,49664,4.578171212012826,0.8280483736860003,1.2548126272246296
eager,mha,32,32,128,1,128,fp16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09126400202512741,0.09948799759149551,0.08083199709653854,0.003520772218789674,0.07854235940612853,0.0895935227163136,25088,24576,49664,0.5441795110664354,0.09842509995026857,0.14915198456784476
compile,mha,32,32,128,1,128,fp16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.030368000268936157,0.037087999284267426,0.0261439997702837,0.0027462790915397436,0.0228907004930079,0.028333510272204876,25088,24576,49664,1.6354056757172117,0.2957938765027335,0.44824179732294295
graph_eager,mha,32,32,128,1,128,fp16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.03167999908328056,0.03311999887228012,0.030527999624609947,0.001205708696755579,0.030795159982517358,0.03575748996809125,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,fp16,uniform,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.010928000323474407,0.015104000456631184,0.008287999778985977,0.0012870129769748172,0.006031229859218001,0.012123025953769684,25088,24576,49664,4.544655795197672,0.8219864801695725,1.2456265207470036
eager,mha,32,32,128,1,128,fp16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09081599861383438,0.09964799880981445,0.08902399986982346,0.004573914190363102,0.07912854896858335,0.08972350042313337,25088,24576,49664,0.546863997071486,0.09891063973629324,0.14988776459457392
compile,mha,32,32,128,1,128,fp16,ragged,packed,identity,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.04185600019991398,0.04972799867391586,0.03167999908328056,0.0067731914242832965,0.029330289689823985,0.040690996684134007,25088,24576,49664,1.1865443368404338,0.2146088608152085,0.3252151891398245
graph_eager,mha,32,32,128,1,128,fp16,ragged,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03169599920511246,0.03311999887228012,0.030527999624609947,0.0007120354504967598,0.030640260083600882,0.03574200673028827,25088,24576,49664,1.566885450703487,0.2834007050244942,0.4294613630434454
graph_compile,mha,32,32,128,1,128,fp16,ragged,packed,identity,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010847999714314938,0.014175999909639359,0.0081599997356534,0.001282620488710008,0.00602621934376657,0.011887575965374708,25088,24576,49664,4.578171212012826,0.8280483736860003,1.2548126272246296
eager,mha,32,32,128,1,128,fp16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09095999971032143,0.09935999661684036,0.0894400030374527,0.0035932110427201467,0.07927342900075018,0.08834601612761617,25088,24576,49664,0.5459982427238785,0.09875405177871165,0.1496504734498911
compile,mha,32,32,128,1,128,fp16,ragged,packed,permuted,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.041840000078082085,0.05081599950790405,0.031808000057935715,0.00675794037416789,0.029596500098705292,0.0371295609511435,25088,24576,49664,1.186998085738927,0.21469092983798188,0.3253395553596646
graph_eager,mha,32,32,128,1,128,fp16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03167999908328056,0.03244800120592117,0.030559999868273735,0.0007441149202342481,0.030806479044258595,0.03576208837330341,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,fp16,ragged,packed,permuted,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010928000323474407,0.014112000353634357,0.009151999838650227,0.0012605837683128081,0.005938450340181589,0.012232980225235224,25088,24576,49664,4.544655795197672,0.8219864801695725,1.2456265207470036
eager,mha,32,32,128,1,128,fp16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09145600348711014,0.09939199686050415,0.08963199704885483,0.0029301565915483955,0.07895802962593734,0.0900750164873898,25088,24576,49664,0.5430370681679708,0.09821846766407961,0.14883885696547053
compile,mha,32,32,128,1,128,fp16,ragged,strided,identity,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.04283200018107891,0.05027199909090996,0.03203200176358223,0.007090881670432779,0.029078329680487514,0.04066096153110266,25088,24576,49664,1.1595069058189613,0.20971863287283005,0.31780460786570425
graph_eager,mha,32,32,128,1,128,fp16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03169599920511246,0.032575998455286026,0.030592000111937523,0.0008750869379870169,0.030661610653623935,0.03572204150259495,25088,24576,49664,1.566885450703487,0.2834007050244942,0.4294613630434454
graph_compile,mha,32,32,128,1,128,fp16,ragged,strided,identity,1234,pass,q_maxdiff=9.54e-07 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010847999714314938,0.013183999806642532,0.005888000130653381,0.0013248902829455823,0.005911609623581171,0.013585435226559639,25088,24576,49664,4.578171212012826,0.8280483736860003,1.2548126272246296
